open,high,low,close,volume,timestamp,open_interest
1315.2,1319.0,1306.0,1319.0,7508023.0,2026-08-03,0.0
1315.0,1315.0,1286.4,1290.9,10759546.0,2026-08-04,0.0
1293.0,1299.0,1270.1,1280.0,24820782.0,2026-08-05,0.0
1285.0,1325.2,1281.2,1325.0,20342297.0,2026-08-06,0.0
1320.0,1337.0,1316.6,1334.8,9885638.0,2026-08-07,0.0
1330.1,1332.9,1321.3,1327.3,8207102.0,2026-08-10,0.0
1326.6,1328.7,1314.1,1323.9,9953124.0,2026-08-11,0.0
1323.9,1329.0,1309.2,1329.0,7901012.0,2026-08-12,0.0
1327.8,1327.8,1307.2,1317.0,9397301.0,2026-08-13,0.0
1317.0,1317.5,1301.5,1310.0,10497358.0,2026-08-14,0.0
1314.0,1320.8,1298.1,1316.0,13383867.0,2026-08-17,0.0
1314.0,1328.6,1311.2,1322.0,10180567.0,2026-08-18,0.0
1320.3,1321.6,1303.5,1311.0,7489365.0,2026-08-19,0.0
1315.5,1316.5,1307.0,1313.2,5546227.0,2026-08-20,0.0
1314.0,1316.0,1308.0,1316.0,5434871.0,2026-08-21,0.0
1316.6,1320.0,1302.4,1309.8,7277167.0,2026-08-24,0.0
1304.3,1317.1,1300.0,1317.0,7115355.0,2026-08-25,0.0
1310.0,1315.6,1298.0,1298.0,5744474.0,2026-08-26,0.0
1305.0,1308.4,1282.2,1282.2,11271497.0,2026-08-27,0.0
1284.9,1291.8,1280.0,1287.0,6830228.0,2026-08-28,0.0
1278.7,1297.6,1271.0,1277.0,34871137.0,2026-08-31,0.0
1285.0,1311.8,1280.0,1309.0,12617528.0,2026-09-01,0.0
1298.0,1321.9,1293.1,1313.1,13497841.0,2026-09-02,0.0
1313.1,1316.8,1302.5,1302.5,9721454.0,2026-09-03,0.0
1304.1,1333.0,1304.1,1322.0,13031534.0,2026-09-04,0.0
1323.1,1324.2,1301.9,1309.5,10210522.0,2026-09-07,0.0
1304.1,1306.8,1288.0,1294.9,9799528.0,2026-09-08,0.0
1283.5,1294.7,1277.2,1279.0,12152819.0,2026-09-09,0.0
1278.5,1285.3,1266.3,1274.0,9296079.0,2026-09-10,0.0
